"","age","gender","occup","ft_pt","freqmon1","own_motob","opinion_ban","opinion_ban1"
"164","18_25","female","retired","fulltime","more_20",1,"agree",1
"165","36_55","male","fdi","owner","8_10",1,"disagree",0.75
"166","26_35","female","private","owner","8_10",3,"disagree",0.75
"167","26_35","female","student","fulltime","more_20",1,"disagree",0.5
"168","26_35","female","state","fulltime","more_20",1,"strongdisagree",0.75
"169","26_35","male","private","fulltime","17_20",1,"agree",0.75
"170","18_25","male","private","student","8_10",2,"agree",0.25
"171","36_55","male","state","fulltime","11_13",1,"agree",0.75
"172","26_35","male","state","retired","17_20",2,"disagree",0.5
"173","36_55","male","fdi","not","17_20",3,"agree",0.75
"174","18_25","female","state","fulltime","1_3",1,"strongagree",0.75
"175","36_55","female","student","owner","1_3",2,"neutral",0
"176","36_55","male","fdi","retired","11_13",1,"neutral",0
"177","18_25","male","private","student","8_10",3,"disagree",0.75
"178","26_35","male","fdi","fulltime","1_3",2,"agree",1
"179","18_25","male","private","fulltime","more_20",1,"agree",0.75
"180","36_55","male","private","retired","11_13",5,"disagree",0.75
"181","26_35","male","private","student","17_20",0,"strongagree",0.75
"182","36_55","male","private","parttime","more_20",1,"disagree",0.25
"183","56_75","male","private","fulltime","14_16",2,"agree",1
"184","36_55","female","state","fulltime","14_16",1,"strongagree",0.75
"185","26_35","female","student","parttime","14_16",2,"neutral",0.25
"186","36_55","male","fdi","student","17_20",2,"neutral",1
"187","26_35","male","private","fulltime","more_20",2,"neutral",0.5
"188","56_75","female","state","fulltime","more_20",1,"agree",0.75
"189","36_55","female","private","owner","14_16",4,"disagree",1
"190","26_35","female","private","owner","14_16",2,"disagree",1
"191","26_35","female","retired","fulltime","17_20",2,"strongdisagree",0.75
"192","26_35","female","state","fulltime","more_20",2,"agree",0.5
"193","36_55","male","state","fulltime","8_10",1,"disagree",1
"194","18_25","male","student","fulltime","14_16",3,"disagree",0.25
"195","18_25","male","state","student","4_7",2,"disagree",0
"196","18_25","female","fdi","owner","more_20",3,"agree",0.75
"197","26_35","female","state","fulltime","8_10",2,"agree",0.25
"198","18_25","female","state","owner","14_16",0,"neutral",0
"199","18_25","female","private","parttime","8_10",2,"disagree",0.75
"200","26_35","female","retired","fulltime","more_20",2,"agree",0.25
"201","18_25","male","fdi","owner","1_3",1,"disagree",0.75
"202","18_25","male","state","fulltime","more_20",2,"disagree",0.25
"203","18_25","male","private","fulltime","17_20",3,"agree",0.25
"204","26_35","female","state","fulltime","14_16",0,"agree",0.5
"205","more_75","female","student","parttime","14_16",2,"neutral",0.75
"206","26_35","male","student","fulltime","17_20",1,"agree",1
"207","36_55","male","fdi","fulltime","more_20",1,"agree",0.5
"208","36_55","male","private","not","11_13",0,"agree",0.75
"209","18_25","female","state","fulltime","8_10",1,"disagree",0
"210","36_55","female","student","owner","14_16",2,"agree",0
"211","26_35","female","state","fulltime","8_10",2,"disagree",0.75
"212","18_25","male","state","fulltime","14_16",1,"agree",0.25
"213","26_35","male","private","student","8_10",0,"disagree",0.75
"214","56_75","male","student","owner","4_7",2,"agree",0.25
"215","18_25","female","private","owner","14_16",2,"agree",0.5
"216","18_25","female","fdi","fulltime","17_20",2,"agree",0.25
"217","18_25","male","private","fulltime","1_3",2,"neutral",0.75
"218","less_18","male","state","not","17_20",2,"agree",1
"219","36_55","male","student","fulltime","17_20",2,"agree",0
"220","26_35","female","student","fulltime","17_20",1,"neutral",0.75
"221","26_35","female","state","fulltime","1_3",1,"neutral",0.75
"222","26_35","female","private","fulltime","17_20",2,"disagree",0.25
"223","18_25","female","state","student","17_20",1,"strongdisagree",0.5
"224","18_25","male","retired","fulltime","more_20",3,"agree",0.75
"225","36_55","male","student","parttime","more_20",2,"agree",0.75
"226","18_25","female","private","fulltime","14_16",2,"disagree",0.75
"227","36_55","female","student","fulltime","1_3",2,"strongagree",0.5
"228","18_25","male","fdi","not","11_13",2,"strongdisagree",0.5
"229","18_25","male","state","fulltime","more_20",1,"strongdisagree",0.5
"230","26_35","male","fdi","owner","14_16",1,"agree",0.25
"231","26_35","female","private","student","more_20",2,"agree",0.25
"232","56_75","female","fdi","fulltime","14_16",3,"neutral",0.75
"233","26_35","female","student","fulltime","14_16",3,"disagree",0.5
"234","18_25","female","state","fulltime","1_3",2,"disagree",0.5
"235","18_25","male","student","fulltime","14_16",2,"agree",0.75
"236","36_55","female","private","owner","14_16",1,"disagree",1
"237","26_35","female","fdi","student","more_20",2,"disagree",0.5
"238","26_35","male","fdi","fulltime","14_16",2,"neutral",0.75
"239","36_55","male","student","fulltime","more_20",2,"neutral",0.25
"240","56_75","male","private","student","8_10",4,"disagree",0.25
"241","36_55","male","fdi","fulltime","17_20",2,"strongagree",0.75
"242","36_55","female","state","fulltime","1_3",3,"neutral",0.25
"243","36_55","male","state","fulltime","more_20",2,"agree",0.75
"244","26_35","female","fdi","fulltime","14_16",2,"disagree",0.25
"245","18_25","male","state","fulltime","more_20",1,"agree",0.25
"246","18_25","male","student","fulltime","11_13",3,"strongdisagree",0.5
"247","36_55","male","private","fulltime","1_3",1,"disagree",0
"248","less_18","male","student","retired","8_10",1,"neutral",0.5
"249","26_35","female","private","fulltime","11_13",2,"agree",0.25
"250","36_55","female","state","student","1_3",2,"disagree",0.25
"251","18_25","female","state","fulltime","more_20",2,"neutral",0.5
"252","36_55","female","student","fulltime","17_20",2,"neutral",0.5
"253","56_75","female","fdi","owner","17_20",4,"disagree",0
"254","26_35","male","private","fulltime","14_16",2,"agree",0.75
"255","36_55","female","private","fulltime","14_16",1,"agree",0.25
"256","18_25","female","fdi","fulltime","17_20",2,"agree",0.25
"257","18_25","female","state","fulltime","17_20",2,"agree",0
"258","56_75","female","fdi","fulltime","8_10",3,"disagree",0.75
"259","36_55","male","student","fulltime","17_20",2,"disagree",0.75
"260","36_55","male","private","fulltime","4_7",1,"agree",0.5
"261","36_55","female","state","fulltime","8_10",1,"neutral",1
"262","26_35","male","student","fulltime","more_20",2,"neutral",0.75
"263","18_25","male","fdi","owner","more_20",1,"agree",1
"264","26_35","female","state","owner","4_7",2,"disagree",0.75
"265","18_25","female","state","owner","17_20",1,"disagree",1
"266","26_35","female","student","parttime","17_20",1,"strongdisagree",0.75
"267","18_25","male","fdi","owner","4_7",1,"neutral",0.75
"268","56_75","female","fdi","owner","11_13",2,"neutral",0.75
"269","26_35","female","private","fulltime","17_20",2,"disagree",0.75
"270","36_55","male","fdi","fulltime","17_20",1,"agree",0.5
"271","36_55","female","fdi","not","8_10",3,"strongagree",0.75
"272","26_35","female","private","fulltime","17_20",1,"neutral",0.25
"273","36_55","male","state","fulltime","14_16",3,"disagree",0.5
"274","18_25","male","student","student","more_20",2,"disagree",0.75
"275","26_35","female","private","fulltime","more_20",2,"strongdisagree",0
"276","26_35","male","private","owner","more_20",3,"disagree",0.5
"277","26_35","female","student","owner","17_20",2,"disagree",0.5
"278","36_55","female","retired","fulltime","17_20",3,"agree",0.75
"279","36_55","male","state","fulltime","8_10",1,"neutral",0.5
"280","26_35","male","private","not","11_13",0,"disagree",0.75
"281","18_25","male","fdi","owner","14_16",1,"agree",0.75
"282","18_25","female","student","fulltime","4_7",2,"disagree",0.75
"283","18_25","male","state","parttime","more_20",3,"agree",0.75
"284","26_35","female","retired","owner","14_16",1,"neutral",0.5
"285","56_75","female","student","student","14_16",2,"agree",0.5
"286","18_25","female","fdi","parttime","4_7",1,"agree",0.25
"287","26_35","female","private","fulltime","17_20",1,"neutral",0.75
"288","18_25","female","state","owner","1_3",2,"agree",0.75
"289","36_55","female","private","fulltime","more_20",3,"strongdisagree",0.5
"290","18_25","male","private","owner","1_3",2,"disagree",0.25
"291","18_25","male","private","owner","4_7",1,"agree",0.75
"292","less_18","female","state","fulltime","11_13",2,"agree",0.75
"293","more_75","male","fdi","parttime","more_20",2,"neutral",0.5
"294","56_75","female","student","owner","8_10",2,"agree",0.75
"295","36_55","male","private","retired","more_20",2,"agree",1
"296","26_35","female","retired","fulltime","11_13",2,"strongdisagree",0.5
"297","more_75","female","state","fulltime","14_16",1,"agree",0.5
"298","36_55","male","state","fulltime","14_16",1,"disagree",0.25
"299","26_35","male","state","fulltime","17_20",1,"neutral",0.5
"300","26_35","male","state","fulltime","more_20",3,"agree",0.75
"301","18_25","female","state","fulltime","11_13",1,"disagree",0.25
"302","26_35","male","private","fulltime","1_3",2,"agree",0.5
"303","26_35","female","state","parttime","8_10",2,"disagree",0
"304","18_25","female","fdi","owner","14_16",1,"strongagree",0.75
"305","18_25","male","private","fulltime","17_20",2,"neutral",1
"306","18_25","male","private","fulltime","17_20",2,"disagree",0.25
"307","18_25","male","state","owner","17_20",2,"disagree",0.75
"308","18_25","female","student","fulltime","14_16",1,"disagree",0.5
"309","26_35","male","student","fulltime","more_20",2,"disagree",0.5
"310","26_35","female","state","fulltime","4_7",2,"strongagree",0.5
"311","36_55","female","student","fulltime","11_13",1,"disagree",0.5
"312","26_35","female","state","student","14_16",1,"neutral",0.75
"313","36_55","male","state","fulltime","1_3",1,"strongagree",1
"314","18_25","female","state","owner","1_3",2,"strongdisagree",0.25
"315","18_25","female","state","fulltime","more_20",2,"neutral",0.75
"316","36_55","female","retired","retired","17_20",1,"strongagree",0
"317","36_55","female","state","owner","17_20",2,"agree",0.75
"318","18_25","male","private","student","14_16",2,"agree",0.75
"319","18_25","female","private","student","more_20",2,"neutral",0
"320","26_35","male","state","fulltime","17_20",2,"disagree",0.75
"321","26_35","male","state","owner","1_3",3,"agree",1
"322","26_35","female","student","fulltime","17_20",1,"disagree",0.75
"323","56_75","female","retired","fulltime","14_16",3,"agree",1
"324","36_55","female","student","fulltime","1_3",1,"strongagree",0.5
"325","26_35","female","private","parttime","1_3",2,"disagree",0
"326","18_25","male","state","owner","11_13",2,"strongdisagree",0.75
"327","18_25","female","student","owner","11_13",2,"agree",0.5
"328","36_55","male","fdi","fulltime","17_20",2,"agree",0.5
"329","less_18","female","fdi","fulltime","4_7",0,"strongdisagree",0.5
"330","18_25","male","retired","fulltime","17_20",2,"agree",0.25
"331","56_75","male","state","fulltime","1_3",2,"disagree",0.5
"332","26_35","male","private","fulltime","14_16",5,"agree",0.75
"333","36_55","female","student","fulltime","1_3",3,"neutral",0.75
"334","26_35","male","private","owner","8_10",2,"strongdisagree",0.75
"335","36_55","male","fdi","parttime","14_16",3,"strongdisagree",1
"336","26_35","female","private","student","more_20",2,"disagree",0.75
"337","36_55","female","state","fulltime","1_3",1,"neutral",0.75
"338","18_25","female","private","retired","14_16",2,"strongagree",0.75
"339","36_55","female","private","owner","17_20",2,"neutral",0.5
"340","56_75","male","state","owner","8_10",1,"agree",0.25
"341","18_25","female","state","parttime","more_20",2,"disagree",0.75
"342","26_35","female","state","fulltime","more_20",2,"agree",0.5
"343","26_35","male","private","fulltime","14_16",2,"neutral",0.75
"344","less_18","male","state","fulltime","17_20",4,"agree",0.5
"345","36_55","female","state","fulltime","more_20",1,"neutral",1
"346","26_35","female","student","parttime","14_16",1,"strongagree",0
"347","56_75","male","private","student","17_20",0,"agree",0.75
"348","18_25","male","private","fulltime","more_20",1,"disagree",0.75
"349","18_25","male","private","fulltime","17_20",1,"strongdisagree",0.5
"350","26_35","male","private","student","4_7",1,"strongdisagree",0.25
"351","18_25","male","retired","retired","14_16",0,"agree",0.75
"352","18_25","male","fdi","retired","8_10",1,"agree",0.25
"353","26_35","female","private","student","more_20",2,"strongdisagree",1
"354","36_55","female","state","fulltime","11_13",2,"disagree",0.75
"355","56_75","male","fdi","fulltime","17_20",1,"agree",0.5
"356","36_55","male","state","retired","14_16",4,"neutral",0.75
"357","36_55","female","student","student","8_10",0,"neutral",0.5
"358","36_55","male","fdi","student","more_20",2,"disagree",0.25
"359","36_55","male","private","student","8_10",3,"neutral",0.75
"360","26_35","male","student","owner","17_20",1,"agree",0.25
"361","18_25","female","private","fulltime","14_16",2,"neutral",0
"362","36_55","male","private","fulltime","14_16",2,"neutral",0.75
"363","26_35","female","retired","owner","8_10",0,"neutral",1
"364","36_55","female","private","fulltime","8_10",2,"disagree",1
"365","18_25","female","student","fulltime","8_10",1,"disagree",0.25
"366","18_25","female","private","fulltime","8_10",2,"disagree",0
"367","26_35","male","fdi","fulltime","17_20",1,"disagree",0.25
"368","56_75","female","private","parttime","14_16",1,"neutral",0.25
"369","18_25","female","private","owner","8_10",1,"strongagree",0.75
"370","18_25","male","student","fulltime","14_16",0,"agree",0.25
"371","26_35","male","private","fulltime","17_20",2,"agree",0.5
"372","26_35","female","state","fulltime","more_20",3,"strongdisagree",1
"373","18_25","female","state","fulltime","17_20",3,"agree",0.5
"374","26_35","male","state","student","more_20",1,"agree",0.75
"375","26_35","female","state","parttime","14_16",4,"disagree",0.75
"376","18_25","female","state","student","17_20",2,"neutral",0.25
"377","26_35","female","state","student","4_7",1,"disagree",0.75
"378","36_55","male","state","fulltime","more_20",2,"neutral",0.5
"379","18_25","male","state","fulltime","17_20",2,"disagree",0.75
"380","26_35","male","private","fulltime","14_16",2,"agree",1
"381","26_35","male","fdi","fulltime","14_16",2,"disagree",0.25
"382","18_25","male","retired","fulltime","14_16",2,"agree",0.75
"383","26_35","female","student","fulltime","8_10",2,"strongdisagree",0.75
"384","26_35","female","private","fulltime","8_10",3,"agree",0.25
"385","56_75","male","private","fulltime","14_16",2,"agree",0.25
"386","less_18","female","private","fulltime","4_7",2,"neutral",0.75
"387","56_75","female","student","fulltime","11_13",2,"agree",0.25
"388","36_55","male","private","student","14_16",1,"agree",0.25
"389","36_55","male","private","parttime","8_10",1,"neutral",0.25
"390","18_25","male","private","fulltime","8_10",2,"agree",0.25
"391","26_35","male","retired","owner","more_20",1,"agree",0.5
"392","18_25","female","private","fulltime","17_20",2,"strongagree",0.25
"393","18_25","female","state","fulltime","1_3",2,"agree",0.5
"394","36_55","female","private","fulltime","14_16",2,"strongagree",0.25
"395","26_35","female","state","owner","17_20",1,"agree",0.5
"396","26_35","male","private","fulltime","more_20",1,"disagree",0.25
"397","18_25","female","state","fulltime","14_16",1,"disagree",0.75
"398","26_35","female","fdi","student","14_16",2,"neutral",0.75
"399","26_35","female","student","owner","17_20",3,"disagree",0.75
"400","26_35","male","state","fulltime","14_16",1,"disagree",0.25
"401","18_25","female","private","parttime","17_20",2,"neutral",0.75
"402","18_25","male","state","fulltime","4_7",1,"neutral",0.5
"403","56_75","female","student","fulltime","17_20",3,"neutral",0.5
"404","18_25","female","state","student","1_3",1,"neutral",0
"405","36_55","male","state","student","1_3",1,"neutral",0.25
"406","26_35","male","private","student","more_20",2,"agree",0.25
"407","18_25","female","state","fulltime","14_16",3,"disagree",0.5
"408","56_75","male","student","fulltime","8_10",3,"strongagree",0
"409","18_25","female","private","owner","more_20",1,"agree",0
"410","18_25","female","private","retired","more_20",2,"strongagree",0.5
"411","26_35","female","fdi","fulltime","1_3",1,"neutral",0.75
"412","56_75","female","student","fulltime","17_20",2,"agree",0.5
"413","26_35","male","private","fulltime","14_16",1,"disagree",0.5
"414","56_75","male","state","student","14_16",3,"strongdisagree",0.25
"415","36_55","male","state","not","11_13",2,"agree",1
"416","36_55","male","state","fulltime","17_20",2,"agree",0.75
"417","36_55","female","fdi","owner","more_20",2,"disagree",0.25
"418","26_35","female","state","fulltime","more_20",2,"disagree",0.25
"419","less_18","male","state","fulltime","1_3",3,"strongagree",0.25
"420","36_55","female","student","parttime","14_16",2,"strongdisagree",0.75
"421","26_35","female","private","fulltime","17_20",3,"disagree",0.5
"422","36_55","male","state","parttime","14_16",1,"neutral",0.25
"423","26_35","female","fdi","fulltime","more_20",2,"disagree",0.25
"424","26_35","female","state","fulltime","17_20",1,"neutral",1
"425","26_35","male","retired","fulltime","17_20",2,"disagree",0.75
"426","26_35","male","state","retired","14_16",3,"strongagree",0.75
"427","36_55","male","private","fulltime","1_3",3,"strongdisagree",0.5
"428","56_75","male","student","fulltime","14_16",0,"agree",0.75
"429","18_25","female","state","student","8_10",1,"disagree",0.25
"430","56_75","male","state","fulltime","14_16",3,"agree",0.5
"431","18_25","female","retired","fulltime","1_3",1,"disagree",0.5
"432","26_35","female","state","owner","14_16",1,"disagree",0.75
"433","less_18","female","private","student","17_20",3,"disagree",0.75
"434","18_25","male","state","fulltime","8_10",2,"neutral",0.75
"435","18_25","male","state","student","more_20",1,"neutral",0.5
"436","56_75","female","state","retired","14_16",2,"agree",0.75
"437","26_35","female","state","fulltime","1_3",2,"disagree",0.75
"438","56_75","female","private","fulltime","11_13",2,"agree",0.75
"439","56_75","male","retired","fulltime","1_3",2,"neutral",0.5
"440","18_25","male","private","fulltime","17_20",2,"disagree",0.5
"441","26_35","male","private","fulltime","11_13",2,"strongagree",0
"442","26_35","male","private","owner","more_20",1,"agree",0.5
"443","56_75","female","fdi","fulltime","1_3",3,"neutral",0.75
"444","18_25","male","private","fulltime","17_20",2,"agree",0.75
"445","36_55","female","state","fulltime","14_16",2,"neutral",0.5
"446","18_25","female","fdi","fulltime","17_20",2,"agree",0.25
"447","36_55","male","fdi","owner","4_7",1,"neutral",0.25
"448","36_55","male","private","student","14_16",1,"neutral",0
"449","18_25","male","state","fulltime","more_20",3,"agree",0.75
"450","26_35","female","state","fulltime","17_20",3,"neutral",0.5
"451","26_35","male","private","owner","11_13",2,"agree",0.5
"452","36_55","male","private","retired","17_20",2,"neutral",0.75
"453","18_25","female","private","owner","1_3",3,"neutral",0.5
"454","18_25","male","state","fulltime","14_16",2,"agree",1
"455","18_25","male","fdi","fulltime","1_3",4,"neutral",0.25
"456","18_25","female","state","student","1_3",2,"disagree",1
"457","36_55","female","private","fulltime","14_16",2,"strongdisagree",0.25
"458","26_35","female","private","fulltime","more_20",2,"neutral",0.5
"459","18_25","male","student","owner","1_3",2,"agree",0.75
"460","36_55","male","fdi","fulltime","more_20",2,"agree",0.5
"461","26_35","male","student","retired","17_20",3,"agree",1
"462","26_35","female","student","retired","8_10",2,"disagree",0.75
"463","more_75","male","retired","fulltime","1_3",2,"agree",0.75
"464","56_75","female","student","fulltime","8_10",2,"agree",1
